,section,title
0,사회,"'대북송금 의혹' 이재명 ""중대 범죄 저지를 만큼 어리석지 않아"""
1,IT,"“2만원 저렴하게 팝니다” 입소문 난 소화제, 싸게 사려다 낭패 본다?"
2,국제,“참치·문어 먹을 때 긴장”…일본서 초밥 하나하나 방사능 측정한 중국인
3,경제,30% 급락한 한화에어로..반등의 키는? [마켓플러스]
4,사회,문체부가 '김만배-신학림 녹취 사건' 전모를 추적하겠다고?
5,정치,"이재명, 檢 재출석…“대북송금 증거 제시하는지 볼 것”"
6,정치,이종섭 국방장관 사의 표명... 尹대통령 수리할 듯
7,국제,"""드론항모 건조 시작?""…中 초대형 군용 도크 완공 주목"
8,IT,"[레디!퓨전] 영국, 핵융합 야심작 '스텝' 개발 착수…무한동력 꿈꾼다"
9,사회,정권 바뀔 때마다 해임 되풀이…‘15년 사이 4명’  KBS 사장 흑역사
10,문화,'감기 바이러스' 표면에서 7일 이상 살아...어떻게 막을까
11,국제,홍콩서 톈안먼 민주화 시위 기리려던 중국 학생 징역 6개월
12,사회,"노벨상 우크라 CCL대표 ""북러, '민주주의는 거짓' 선전"""
13,국제,"호주, 기준금리 석 달째 동결해도 소비자신뢰도는 여전히 '침체'"
14,문화,내일과 모레 전국에 가을비…서쪽부터 내리고 그쳐
15,국제,"한 해 3천억 수입 中 쇼호스트, 시청자 공격 발언으로 여론 뭇매"
16,정치,"이재명 檢소환에 민주 ""李 못 내준다""…체포안 내홍 격화하나"
17,국제,유령도시 상하이? 中 경기침체 조작론으로 번진 사진 3장
18,사회,5개월간 포인트 쌓았는데 '교환 불가'…앱테크 앱 사용자 '분통'
19,경제,'밧데리 아저씨' 믿은 개미 날벼락…외인 '팔자'에 2차전지 털썩
