topic,url,section
"김정은 ""러 방문은 북·러 관계 전략적 중요성 표현""...이르면 오늘 회담",https://n.news.naver.com/mnews/article/052/0001934944?sid=100,정치
"“대북송금 수사도 마무리됐지만…李, 아직도 사법리스크 남아”",https://n.news.naver.com/mnews/article/366/0000931553?sid=100,정치
"김성태 ""與 지도부, 단식 중인 이재명 만나는 것이 '정치적 도리'""",https://n.news.naver.com/mnews/article/002/0002300390?sid=100,정치
"러, 7월 대북 정제유 공급 대폭 확대...北 환심 사기용?",https://n.news.naver.com/mnews/article/052/0001934981?sid=100,정치
‘머그샷 공개법’ 소위 문턱 넘었다,https://n.news.naver.com/mnews/article/081/0003392687?sid=100,정치
"김정은-푸틴 회담 앞두고…北, 동해로 탄도미사일 2발 발사",https://n.news.naver.com/mnews/article/020/0003520375?sid=100,정치
"박지현 ""이재명 보자마자 그냥 눈물 났다…자연스러운 일""",https://n.news.naver.com/mnews/article/057/0001768200?sid=100,정치
"교원단체 만난 김기현, “21일 본회의서 ‘교권 4법’ 통과” 약속",https://n.news.naver.com/mnews/article/082/0001232025?sid=100,정치
"민주 ""단식 중인 이재명에 행패""…태영호 징계안 제출",https://n.news.naver.com/mnews/article/422/0000619166?sid=100,정치
"러시아, 대북제재 거부 시사에…“막 나가기 힘들 것” VS “치킨게임 할수도”",https://n.news.naver.com/mnews/article/005/0001637602?sid=100,정치
"방문규 ""탈원전, 유가 변동 못지않게 한적 적자 중요 원인""",https://n.news.naver.com/mnews/article/055/0001089428?sid=101,경제
삼성 ‘라이프사이언스펀드’ 4호 투자는 에임드바이오,https://n.news.naver.com/mnews/article/021/0002593908?sid=101,경제
"""손주 학원비 그까이꺼""…'황혼 육아'에 지갑 여는 노인들 [조미현의 Fin코노미]",https://n.news.naver.com/mnews/article/015/0004891273?sid=101,경제
현대차 노사 '역대 최고 임금 인상안' 잠정 합의,https://n.news.naver.com/mnews/article/422/0000619088?sid=101,경제
"현대차그룹 계열사, 수소 전시회 ‘H2 MEET 2023’ 총출동",https://n.news.naver.com/mnews/article/018/0005573660?sid=101,경제
빨간불 켜진 가계대출…8월 은행 주담대 42개월 만에 7兆 돌파,https://n.news.naver.com/mnews/article/011/0004237773?sid=101,경제
'송파 한양2차아파트' 신통기획 확정…31층 대단지로 탈바꿈,https://n.news.naver.com/mnews/article/215/0001124823?sid=101,경제
"SPC 파리바게뜨, 북미에 이달 9개 매장 개소…150호점 돌파",https://n.news.naver.com/mnews/article/215/0001124827?sid=101,경제
"해수부, 마트업계·수협과 수산물 소비 활성화 업무협약",https://n.news.naver.com/mnews/article/001/0014189065?sid=101,경제
환경부 ‘배출가스 초과’ 팰리세이드 2.2 디젤 등 3개차종 리콜 명령,https://n.news.naver.com/mnews/article/056/0011565190?sid=101,경제
"호서대, 대학혁신지원사업 평가 A등급 선정",https://n.news.naver.com/mnews/article/003/0012085497?sid=102,사회
"""후원 취소"" 성난 여론에 세이브더칠드런 ""'정서 학대' 의견낸 건…""",https://n.news.naver.com/mnews/article/025/0003307345?sid=102,사회
"""대전 교사 가해 학부모 가게 아닙니다"" 별점테러 '오발탄' 속출",https://n.news.naver.com/mnews/article/277/0005313414?sid=102,사회
"""같이 살자""…보건복지부, '같생' 서포터즈 박람회 개최",https://n.news.naver.com/mnews/article/003/0012087072?sid=102,사회
"서울시 재산세 4조 부과…1위 강남, 도봉과 '23배차'",https://n.news.naver.com/mnews/article/374/0000351007?sid=102,사회
철도노조 14~18일 총파업…이정식 “국민 불안·불편 파업 철회하라”,https://n.news.naver.com/mnews/article/366/0000931752?sid=102,사회
"조민, 유튜브서 식당 소개 이어 ‘홍삼’ 유료 광고까지",https://n.news.naver.com/mnews/article/023/0003787545?sid=102,사회
'청담동 주식부자' 형제 코인 사기 혐의 구속영장,https://n.news.naver.com/mnews/article/055/0001089349?sid=102,사회
경북도 “청년의 날 기념 다양한 행사 마련”,https://n.news.naver.com/mnews/article/020/0003520311?sid=102,사회
"경찰, '흉기 위협' 람보르기니 운전자 구속영장 신청",https://n.news.naver.com/mnews/article/055/0001089373?sid=102,사회
RM이 보존·복원 힘 보탠 활옷…문양 뛰어나고 형태·색감 등 눈길,https://n.news.naver.com/mnews/article/001/0014189314?sid=103,생활/문화
‘누가 이 사람을 모르시나요’ 부른 원로가수 곽순옥 별세,https://n.news.naver.com/mnews/article/081/0003392803?sid=103,생활/문화
오늘 전국에 비…강원 영동에 강한 비 [출근길 날씨],https://n.news.naver.com/mnews/article/056/0011564875?sid=103,생활/문화
중국선 '관광 세일즈' 서울선 '손님맞이'…국경절 유커 잡기 총력전,https://n.news.naver.com/mnews/article/011/0004237467?sid=103,생활/문화
“라흐마니노프도 살아있었다면 전쟁과 푸틴에 반대했을 것”,https://n.news.naver.com/mnews/article/023/0003787445?sid=103,생활/문화
우수 재난안전 기술 연구개발 25건 표창,https://n.news.naver.com/mnews/article/014/0005071253?sid=103,생활/문화
"'성추행 의혹' 고은 시인 신작, 반년 만에 판매 재개",https://n.news.naver.com/mnews/article/052/0001935014?sid=103,생활/문화
 전국에 가을비‥영동 최고 100mm 이상[날씨],https://n.news.naver.com/mnews/article/214/0001299603?sid=103,생활/문화
아이폰 가격 인상 없었다… 애플 주가는 2% 가량 하락,https://n.news.naver.com/mnews/article/005/0001637758?sid=105,IT/과학
"경찰청, 제24회 국제사이버범죄대응 심포지엄 개최",https://n.news.naver.com/mnews/article/018/0005573853?sid=105,IT/과학
"컴투스홀딩스, 신작 RPG '빛의 계승자: 이클립스' 글로벌 출시",https://n.news.naver.com/mnews/article/031/0000772507?sid=105,IT/과학
"KT, 추석 맞이 파트너사 납품대금 1370억원 조기 지급",https://n.news.naver.com/mnews/article/029/0002824758?sid=105,IT/과학
반도체·디스플레이 소부장 기업들 힘 모은다…‘소부장 미래포럼’ 창립,https://n.news.naver.com/mnews/article/011/0004237777?sid=105,IT/과학
11만 몰렸다...429만원 `갤Z폴드5` 특별에디션 `불꽃추첨` 예고,https://n.news.naver.com/mnews/article/029/0002824967?sid=105,IT/과학
'전번 있으면 무조건 카톡친구?'…차단기능 도입,https://n.news.naver.com/mnews/article/215/0001124844?sid=105,IT/과학
좋다 말았네…공모가 반토막난 쏘카의 우리사주 ‘희망고문’,https://n.news.naver.com/mnews/article/009/0005185507?sid=105,IT/과학
"성비 불균형 심각한 中, 여성 부족으로 `독신` 처지 남성 무려 3000만명",https://n.news.naver.com/mnews/article/029/0002824822?sid=104,세계
"北으로 北으로...러시아 들어간 김정은, 푸틴과 '폭주열차' 시동",https://n.news.naver.com/mnews/article/008/0004937443?sid=104,세계
2000명 넘게 숨졌는데…모로코 국왕은 '파리 대저택'에 있었다,https://n.news.naver.com/mnews/article/011/0004237353?sid=104,세계
"美하원의장, 바이든 탄핵 공식 지시…백악관 ""최악의 극단 정치""",https://n.news.naver.com/mnews/article/029/0002824932?sid=104,세계
바람 불면 건물이 '휘청'…1800억짜리 주상복합 반값에 판다,https://n.news.naver.com/mnews/article/015/0004891215?sid=104,세계
"머스크, 러 함정 기습공격 시도 우크라 스타링크 접속 차단…美정부 당혹",https://n.news.naver.com/mnews/article/003/0012084899?sid=104,세계
"김정은·푸틴, 러 우주기지서 오늘 정상회담 연다(상보)",https://n.news.naver.com/mnews/article/018/0005573776?sid=104,세계
외신 “김정은-푸틴 정상회담으로 북·러 관계 새로운 시대 열릴 것”,https://n.news.naver.com/mnews/article/032/0003248633?sid=104,세계
북아프리카의 비극…모로코 대지진 이어 리비아는 홍수,https://n.news.naver.com/mnews/article/015/0004890997?sid=104,세계
"도난당한 반 고흐 그림 3년 만에 되찾아…""이케아 가방에 담겨""",https://n.news.naver.com/mnews/article/055/0001089330?sid=104,세계
